disjointed,"記,接合處,關節,連接,脫臼的,脫節的,雜亂的,類,脫節的不連貫陳腐的不新穎,反,有秩序的,整齊的,脫節的,雜亂的"
dislocated,脫臼
disloyalty,"不忠,類,怠慢是一種輕蔑欺騙是一種不忠,不忠實,不信,不義,背信棄義"
dismiss--0,"解雇,撤職,開除使退去,解散自心中摒除,不再考慮或談論"
disorderly,"無秩序的,亂的,騷動的"
disparaged,"貶低,輕視"
disposable,"可任意處理的,用完即丟棄的"
dispose--0,"佈置,安排,使傾向于,使有意於,處理,處置,處理,處置"
disrespect,"記,尊敬,不尊敬,無禮,藐視,失禮,無禮,不尊敬,不尊重"
disruptive,"分裂性的,破裂的擾亂的,破壞的,中斷的"
dissension,"記分開,感覺感覺不同分歧,意見分歧,不同意,參,不同意的,反,和諧,一致,意見不同,糾紛,爭執"
dissent--0,"持異議,不同意,反對正統,不和諧"
dissimilar,"不同的,不相似的"
dissolving,"毀滅性的,消溶的"
dissonance,"音調不和諧,刺身,不一致,分歧"
distend--0,"使膨脹,漲大,記法分開伸張四面伸張膨脹"
distension,"膨脹,延伸,反,濃縮,壓縮,膨脹,延伸"
distill--0,"蒸馏,提取,滴下,滴"
distinctly,"清楚地,顯然,反,咕噥,嘀咕,清楚地說,使黯然失色,使與眾不同,清楚地,顯然"
distracted,"記分開,拉,吸引精神感情被拉開心煩意亂的,分開,拖拉機在拖拉機上分手心煩意亂的,心煩意亂的,因遭受矛盾的感情而思緒紛亂的,精神不集中的,參,易駕馭的,易處理的,類,無畏的不被威嚇全心投入的不被分心,反,全神貫注的,心煩意亂的"
distraught,"因感情糾葛,心神狂亂的,精神錯亂的類十分不安的是狂亂的十分貪婪的是十分貪婪的反,鎮定的"
distribute,"分配,分發,分佈,散佈,分類"
disturbing,引起煩惱的類沉悶的使人沒有精力煩擾的使人沒有鎮定
diurnal--0,"日間活動的,晝行性的,以日為周期的,一日間的"
divergence,"分歧,背離,分離,相異"
divination,"占卜術,預測,預言"
doleful--0,"悲傷的,憂鬱的,記法,痛,多,的"
domination,"支配,統治,源九等天使中的第四等主天使,類,易受騙的容易被詐騙奴性的容易被控製,不受影響的不會被損壞的不屈服的不會屈服的,無情的不易被勸阻,控制,統治,支配"
dormant--0,"冬眠的,不活躍的,暫時停止活動的,如火山,參,宿舍,冬眠鼠,睡鼠,類休眠的有不活動性可塑的有可塑性"
drawbridge,"記拉,橋,吊橋,參,缺點,退稅,水位降低量,消耗,類,進入城堡通過可拆卸吊橋進入船通過可拆卸跳板,可開閉的吊橋"
dubious--0,"有問題的,可疑的,半信半疑的"
earnest--0,"認真的,熱心的,重要的,真摯,定金,認真,熱心"
ebullience,"熱情奔放,亢奮,情緒高昂,情感的爆發,熱情奔放的"
eclipse--0,"日蝕,月蝕,衰落,引起日蝕,引起月蝕,使黯然失色"
economical,"形容詞,經濟的,節約的"
